序号,来源Sheet,单元格地址,公式内容,当前计算值,值类型
125,报告页,J96,"=IF(AND(初始输入!C41=""Automatic"",J95=""TEN""),""±""&抖动计算!B7,""/"")",±5,文本
126,报告页,V96,"=IF(AND(初始输入!C41=""Automatic"",V95=""TEN""),""±""&抖动计算!B8,""/"")",±5,文本
127,报告页,J97,=初始输入!B85,39.62599833911543,数值
128,报告页,V97,=初始输入!I85,33.89807094387942,数值
129,报告页,J110,"=ROUND(Geometry!K16,0)",1251.0,数值
130,报告页,U110,=(L126/L124-1)*100,2.062707756806015,数值
131,报告页,K111,=Input!H20,4.0,数值
132,报告页,U111,=I44/J37,53.826340208689714,数值
133,报告页,AC111,=Input!H19,0.7,数值
134,报告页,C115,"=IF(Input!F17=""YES"",""Design Torque [Nm] :"",""       /"")",Design Torque [Nm] :,文本
135,报告页,I115,"=IF(Input!F17=""YES"",N123,""/   "")",32.0,数值
136,报告页,K115,"=IF(Input!F17=""YES"",""Nm"","" "")",Nm,文本
137,报告页,L115,"=IF(Input!F17=""YES"",CONCATENATE(""±"",ROUND(0.1*I115,1),""Nm""),""/"")",±3.2Nm,文本
138,报告页,O115,"=IF(Input!F17=""YES"",""Total Travel Angle (Min) :"",""Total Travel Length (Min) :"")",Total Travel Angle (Min) :,文本
139,报告页,U115,"=IF(Input!F17=""YES"",CONCATENATE(""≥ "",IF(ABS(J121-J126)>180,ROUND(360-ABS(J121-J126),1),ROUND(ABS(J121-J126),1))),CONCATENATE(""≥ "",ROUND(Input!F48,2)))",≥ 45,文本
140,报告页,X115,=X116,[deg],文本
141,报告页,I116,"=CONCATENATE(ROUND(ABS(L124-L122)/IF(ABS(J124-J122)>180,360-ABS(J124-J122),ABS(J124-J122)),3),IF(Input!F17=""YES"",""[mm/deg]"",""[mm/mm]""))",1.294[mm/deg],文本
142,报告页,L116,"=CONCATENATE(""("",ROUND(100*(ABS(L124-L122)/IF(ABS(J124-J122)>180,360-ABS(J124-J122),ABS(J124-J122)))/L123,3),""%)"")",(0.103%),文本
143,报告页,O116,"=IF(Input!F17=""YES"",""Nominal Working Angle :"",""Nominal Working Length :"")",Nominal Working Angle :,文本
144,报告页,U116,"=IF(Input!F17=""YES"",IF(ABS(J123-J126)>180,360-ABS(J123-J126),ABS(J123-J126)),ROUND(Input!F49,2))",25.0,数值
145,报告页,X116,"=IF(Input!F17=""YES"",""[deg]"",""[mm]"")",[deg],文本
146,报告页,J119,"=IF(Input!F17=""YES"",""Arm Position [deg]"",""Arm Travel [mm]"")",Arm Position [deg],文本
147,报告页,N119,"=IF(Input!F17=""YES"",""Tensioner Torque [Nm]"","" NA "")",Tensioner Torque [Nm],文本
148,报告页,X119,"=IF(Input!F17=""YES"",""Hubload to  Arm Angle  [deg]"","" NA "")",Hubload to  Arm Angle  [deg],文本
149,报告页,D121,"=CONCATENATE(""-"",OFFSET(C49,MATCH(""TEN"",E50:E59,0),0),""/TEN"")",-5/TEN,文本
150,报告页,F121,"=IF(Input!$F$17=""YES"",Input!D26,Input!D47)",167.2419141918043,数值
151,报告页,H121,"=IF(Input!$F$17=""YES"",Input!E26,Input!E47)",30.599912267100564,数值
152,报告页,J121,"=IF(Input!F17=""YES"",IF(Input!F26<0,360+Input!F26,IF(Input!F26>360,Input!F26-360,Input!F26)),Input!F47)",25.99688162245532,数值
153,报告页,L121,=Geometry!G43,1224.6295367670623,数值
154,报告页,N121,"=IF(Input!I26=""NO"",""no install"",IF(Input!F17=""YES"",Input!D34,"" / ""))",38.4,数值
155,报告页,P121,"=IF(Input!I26=""NO"",""no install"",IF(ISERROR(Input!H32),""Invalid"",IF(Input!H32>10000,""+∞"",Input!H32)))",504.4537207597464,数值
156,报告页,R121,"=IF(ISERROR(Input!F34),""Invalid"",Input!F34)",108.2797278478044,数值
157,报告页,T121,"=IF(Input!I26=""NO"",""no install"",IF(ISERROR(Input!G34),""Invalid"",IF(Input!G34>10000,""+∞"",Input!G34)))",817.6684480698134,数值
158,报告页,V121,"=IF(Input!I26=""NO"",""no install"",IF(ISERROR(Input!M34),""Invalid"",Input!M34))",118.18883537917051,数值
159,报告页,X121,"=IF(Input!I26=""NO"",""no install"",IF(ISERROR(IF(Input!F17=""YES"",IF(Input!O34>180,360-Input!O34,Input!O34),"" / "")),""Invalid"",IF(Input!F17=""YES"",IF(Input!O34>180,360-Input!O34,Input!O34),"" / "")))",87.80804624328488,数值
160,报告页,F122,"=IF(Input!$F$17=""YES"",Input!D27,Input!D48)",171.40955806093456,数值
161,报告页,H122,"=IF(Input!$F$17=""YES"",Input!E27,Input!E48)",17.408685483184318,数值
162,报告页,J122,"=IF(Input!F17=""YES"",IF(Input!F27<0,360+Input!F27,IF(Input!F27>360,Input!F27-360,Input!F27)),Input!F48)",9.07,数值
163,报告页,L122,"=IF(Input!I27=""NO"",""Error"",Input!G27)",1247.1628439082565,数值
164,报告页,N122,"=IF(Input!I27=""NO"",""Error"",IF(Input!F17=""YES"",Input!D35,"" / ""))",32.9833978808143,数值
165,报告页,P122,"=IF(Input!I27=""NO"",""Error"",IF(ISERROR(Input!H35),""Invalid"",Input!H35))",438.6685447532433,数值
166,报告页,R122,"=IF(Input!I27=""NO"",""Error"",IF(ISERROR(Input!F35),""Invalid"",Input!F35))",114.98102348076691,数值
167,报告页,T122,"=IF(Input!I27=""NO"",""Error"",IF(ISERROR(Input!G35),""Invalid"",Input!G35))",739.8605232381196,数值
168,报告页,V122,"=IF(Input!I27=""NO"",""Error"",IF(ISERROR(Input!M35),""Invalid"",Input!M35))",117.52377458772077,数值
169,报告页,X122,"=IF(Input!I27=""NO"",""Error"",IF(ISERROR(IF(Input!F17=""YES"",IF(Input!O35>180,360-Input!O35,Input!O35),"" / "")),""Invalid"",IF(Input!F17=""YES"",IF(Input!O35>180,360-Input!O35,Input!O35),"" / "")))",71.54622541227911,数值
170,报告页,F123,"=IF(Input!$F$17=""YES"",Input!D28,Input!D49)",171.74,数值
171,报告页,H123,"=IF(Input!$F$17=""YES"",Input!E28,Input!E49)",14.909999999999995,数值
172,报告页,J123,"=IF(Input!F17=""YES"",IF(Input!F28<360,Input!F28,Input!F28-360),Input!F49)",5.996881622455319,数值
173,报告页,L123,=Input!G28,1251.1628439082565,数值
174,报告页,N123,"=IF(Input!F17=""YES"",Input!D36,"" / "")",32.0,数值
175,报告页,P123,=Input!H36,430.6107216695177,数值
176,报告页,R123,=Input!F36,116.04448888965763,数值
177,报告页,T123,=Input!G36,730.5343339287895,数值
178,报告页,V123,=Input!M36,117.2408108276773,数值
179,报告页,X123,"=IF(Input!F17=""YES"",IF(Input!O36>180,360-Input!O36,Input!O36),"" / "")",68.75607079477801,数值
180,报告页,AC123,=J124-J124,0.0,数值
181,报告页,AE123,=ABS(L124-L124),0.0,数值
182,报告页,F124,"=IF(Input!$F$17=""YES"",Input!D29,Input!D50)",171.93741587888292,数值
183,报告页,H124,"=IF(Input!$F$17=""YES"",Input!E29,Input!E50)",12.369533838710014,数值
184,报告页,J124,"=IF(Input!F17=""YES"",IF(Input!F29<0,360+Input!F29,IF(Input!F29>360,Input!F29-360,Input!F29)),Input!F50)",2.89,数值
185,报告页,L124,"=IF(Input!I29=""NO"",""Error"",Input!G29)",1255.1628439082565,数值
186,报告页,N124,"=IF(Input!I29=""NO"",""Error"",IF(Input!F17=""YES"",Input!D37,"" / ""))",31.0057978808143,数值
187,报告页,P124,"=IF(Input!I29=""NO"",""Error"",IF(ISERROR(Input!H37),""Invalid"",Input!H37))",423.38219601268884,数值
188,报告页,R124,"=IF(Input!I29=""NO"",""Error"",IF(ISERROR(Input!F37),""Invalid"",Input!F37))",117.07440494903128,数值
189,报告页,T124,"=IF(Input!I29=""NO"",""Error"",IF(ISERROR(Input!G37),""Invalid"",Input!G37))",722.2724528212372,数值
190,报告页,V124,"=IF(Input!I29=""NO"",""Error"",IF(ISERROR(Input!M37),""Invalid"",Input!M37))",116.90782413874236,数值
191,报告页,X124,"=IF(Input!I29=""NO"",""Error"",IF(ISERROR(IF(Input!F17=""YES"",IF(Input!O37>180,360-Input!O37,Input!O37),"" / "")),""Invalid"",IF(Input!F17=""YES"",IF(Input!O37>180,360-Input!O37,Input!O37),"" / "")))",65.9821758612572,数值
192,报告页,AC124,"=IF(ABS(J123-J124)>180,360-ABS(J123-J124),ABS(J123-J124))",3.1068816224553193,数值
193,报告页,AE124,=ABS(L123-L124),4.0,数值
194,报告页,F125,"=IF(Input!$F$17=""YES"",Input!D30,Input!D51)",171.87573642792208,数值
195,报告页,H125,"=IF(Input!$F$17=""YES"",Input!E30,Input!E51)",6.623458227715922,数值
196,报告页,J125,"=IF(Input!F17=""YES"",IF(Input!F30<0,360+Input!F30,IF(Input!F30>360,Input!F30-360,Input!F30)),Input!F51)",355.88,数值
197,报告页,L125,"=IF(Input!I30=""NO"",""Error"",Input!G30)",1263.9489838156142,数值
198,报告页,N125,"=IF(Input!I30=""NO"",""Error"",IF(Input!F17=""YES"",Input!D38,"" / ""))",28.7625978808143,数值
199,报告页,P125,"=IF(Input!I30=""NO"",""Error"",IF(ISERROR(Input!H38),""Invalid"",Input!H38))",410.0445976794167,数值
200,报告页,R125,"=IF(Input!I30=""NO"",""Error"",IF(ISERROR(Input!F38),""Invalid"",Input!F38))",119.24272778354938,数值
201,报告页,T125,"=IF(Input!I30=""NO"",""Error"",IF(ISERROR(Input!G38),""Invalid"",Input!G38))",707.4928305209487,数值
202,报告页,V125,"=IF(Input!I30=""NO"",""Error"",IF(ISERROR(Input!M38),""Invalid"",Input!M38))",115.99318166801307,数值
203,报告页,X125,"=IF(Input!I30=""NO"",""Error"",IF(ISERROR(IF(Input!F17=""YES"",IF(Input!O38>180,360-Input!O38,Input!O38),"" / "")),""Invalid"",IF(Input!F17=""YES"",IF(Input!O38>180,360-Input!O38,Input!O38),"" / "")))",59.88681833198687,数值
204,报告页,AC125,"=IF(ABS(J122-J124)>180,360-ABS(J122-J124),ABS(J122-J124))",6.18,数值
205,报告页,AE125,=ABS(L122-L124),8.0,数值
206,报告页,AH125,"=IF(ABS(J126-J125)>180,360-ABS(J126-J125),ABS(J126-J125))",14.88311837754469,数值
207,报告页,AI125,=Input!Q16,5.0,数值
208,报告页,F126,"=IF(Input!$F$17=""YES"",Input!D31,Input!D52)",169.43588163123985,数值
209,报告页,H126,"=IF(Input!$F$17=""YES"",Input!E31,Input!E52)",-5.3032063194103465,数值
210,报告页,J126,"=IF(Input!F17=""YES"",IF(Input!F31<0,360+Input!F31,IF(Input!F31>360,Input!F31-360,Input!F31)),Input!F52)",340.9968816224553,数值
211,报告页,L126,=Input!G31,1281.053185250099,数值
212,报告页,N126,"=IF(Input!F17=""YES"",Input!D39,"" / "")",24.0,数值
213,报告页,P126,"=IF(ISERROR(Input!H39),""Invalid"",Input!H39)",392.9349177217028,数值
214,报告页,R126,"=IF(ISERROR(Input!F39),""Invalid"",Input!F39)",123.25381038115489,数值
215,报告页,T126,"=IF(ISERROR(Input!G39),""Invalid"",Input!G39)",691.4647237600237,数值
216,报告页,V126,"=IF(ISERROR(Input!M39),""Invalid"",Input!M39)",113.39036456045622,数值
217,报告页,X126,"=IF(ISERROR(IF(Input!F17=""YES"",IF(Input!O39>180,360-Input!O39,Input!O39),"" / "")),""Invalid"",IF(Input!F17=""YES"",IF(Input!O39>180,360-Input!O39,Input!O39),"" / ""))",47.606517061999085,数值
218,报告页,AC126,"=IF(ABS(J121-J124)>180,360-ABS(J121-J124),ABS(J121-J124))",23.10688162245532,数值
219,报告页,AF126,"=IF(ABS(J126-J124)>180,360-ABS(J126-J124),ABS(J126-J124))",21.89311837754468,数值
220,报告页,AG126,"=IF(ABS(J125-J124)>180,360-ABS(J125-J124),ABS(J125-J124))",7.009999999999991,数值
221,报告页,AH126,"=IF(AF126>AG126,""YES"",""NO"")",YES,文本
222,报告页,C133,=C50,1.0,数值
223,报告页,D133,=E50,FAN,文本
224,报告页,F133,"=IF(D133=""NA"",0&"""",Geometry!Q5)",243.79653155859296,数值
225,报告页,I133,=Geometry!S5,203.8939230732719,数值
226,报告页,L133,=Geometry!U5,1.0,数值
227,报告页,C134,=C51,2.0,数值
228,报告页,D134,=E51,ALT,文本
229,报告页,F134,"=IF(D134=""NA"",0&"""",Geometry!Q6)",82.54058880332755,数值
230,报告页,I134,=Geometry!S6,103.19623342911785,数值
231,报告页,L134,=Geometry!U6,2.2241379310344827,数值
232,报告页,C135,=C52,3.0,数值
233,报告页,D135,=E52,IDR,文本
234,报告页,F135,"=IF(D135=""NA"",0&"""",Geometry!Q7)",55.42706919908359,数值
235,报告页,I135,=Geometry!S7,54.40271911113172,数值
236,报告页,L135,=Geometry!U7,1.6666666666666665,数值
237,报告页,C136,=C53,4.0,数值
238,报告页,D136,=E53,AC,文本
239,报告页,F136,"=IF(D136=""NA"",0&"""",Geometry!Q8)",125.63309953989037,数值
240,报告页,I136,"=IF(D136=""NA"","" "",Geometry!S8)",223.35705149839958,数值
241,报告页,L136,=Geometry!U8,1.1517857142857142,数值
242,报告页,C137,=C54,5.0,数值
243,报告页,D137,=E54,TEN,文本
244,报告页,F137,"=IF(D137=""NA"",0&"""",Geometry!Q9)",139.91585221124876,数值
245,报告页,I137,"=IF(D137=""NA"","" "",Geometry!S9)",116.04448888965763,数值
246,报告页,L137,=Geometry!U9,1.7817679558011048,数值
247,报告页,C138,=C55,6.0,数值
248,报告页,D138,=E55,NA,文本
249,报告页,F138,"=IF(D138=""NA"",0&"""",Geometry!Q10)",0,文本
250,报告页,I138,"=IF(D138=""NA"","" "",Geometry!S10)", ,文本
251,报告页,L138,=Geometry!U10, ,文本
252,报告页,C139,=C56,7.0,数值
253,报告页,D139,=E56,NA,文本
254,报告页,F139,"=IF(D139=""NA"",0&"""",Geometry!Q11)",0,文本
255,报告页,I139,"=IF(D139=""NA"","" "",Geometry!S11)", ,文本
256,报告页,L139,=Geometry!U11, ,文本
257,报告页,C140,=C57,8.0,数值
258,报告页,D140,=E57,NA,文本
259,报告页,F140,"=IF(D140=""NA"",0&"""",Geometry!Q12)",0,文本
260,报告页,I140,"=IF(D140=""NA"","" "",Geometry!S12)", ,文本
261,报告页,L140,=Geometry!U12, ,文本
262,报告页,C141,=C58,9.0,数值
263,报告页,D141,=E58,NA,文本
264,报告页,F141,"=IF(D141=""NA"",0&"""",Geometry!Q13)",0,文本
265,报告页,I141,"=IF(D141=""NA"","" "",Geometry!S13)", ,文本
266,报告页,L141,=Geometry!U13, ,文本
267,报告页,C142,=C59,10.0,数值
268,报告页,D142,=E59,NA,文本
269,报告页,F142,"=IF(D142=""NA"",0&"""",Geometry!Q14)",0,文本
270,报告页,I142,"=IF(D142=""NA"","" "",Geometry!S14)", ,文本
271,报告页,L142,=Geometry!U14, ,文本
272,报告页,C158,"=IF(Input!B5=""NA"","""",Input!B5)",FAN,文本
273,报告页,H158,"=IFNA(IF(INDEX(Input!H4:H13,MATCH(C158,Input!B4:B13,0)+1)=""Grooved"",""/"",INDEX(Input!B4:B13, MATCH(C158, Input!B4:B13, 0)+1)),"""")",/,文本
274,报告页,O158,"=IFNA(IF(H158=""/"",IF(INDEX(Input!$B$5:$B$14, MATCH(C158,Input!$B$5:$B$14, 0)+1)=""NA"",Input!$B$5,INDEX(Input!$B$5:$B$14, MATCH(C158,Input!$B$5:$B$14, 0)+1)),IF(INDEX(Input!$B$5:$B$14, MATCH(H158,Input!$B$5:$B$14, 0)+1)=""NA"",Input!$B$5,INDEX(Input!$B$5:$B$14, MATCH(H158,Input!$B$5:$B$14, 0)+1))),"""")",ALT,文本
275,报告页,C159,"=IF(OR(O158=$C$158,O158=""""),"""",INDEX(Input!$B$5:$B$14, MATCH(O158,Input!$B$5:$B$14, 0)))",ALT,文本
276,报告页,H159,"=IFNA(IF(INDEX(Input!H5:H14,MATCH(C159,Input!B5:B14,0)+1)=""Grooved"",""/"",INDEX(Input!B5:B14, MATCH(C159, Input!B5:B14, 0)+1)),"""")",IDR,文本
277,报告页,O159,"=IFNA(IF(H159=""/"",IF(INDEX(Input!$B$5:$B$14, MATCH(C159,Input!$B$5:$B$14, 0)+1)=""NA"",Input!$B$5,INDEX(Input!$B$5:$B$14, MATCH(C159,Input!$B$5:$B$14, 0)+1)),IF(INDEX(Input!$B$5:$B$14, MATCH(H159,Input!$B$5:$B$14, 0)+1)=""NA"",Input!$B$5,INDEX(Input!$B$5:$B$14, MATCH(H159,Input!$B$5:$B$14, 0)+1))),"""")",AC,文本
278,报告页,C160,"=IF(OR(O159=$C$158,O159=""""),"""",INDEX(Input!$B$5:$B$14, MATCH(O159,Input!$B$5:$B$14, 0)))",AC,文本
279,报告页,H160,"=IFNA(IF(INDEX(Input!H6:H15,MATCH(C160,Input!B6:B15,0)+1)=""Grooved"",""/"",INDEX(Input!B6:B15, MATCH(C160, Input!B6:B15, 0)+1)),"""")",TEN,文本
280,报告页,C161,"=IF(OR(O160=$C$158,O160=""""),"""",INDEX(Input!$B$5:$B$14, MATCH(O160,Input!$B$5:$B$14, 0)))",,空
281,报告页,H161,"=IFNA(IF(INDEX(Input!H7:H16,MATCH(C161,Input!B7:B16,0)+1)=""Grooved"",""/"",INDEX(Input!B7:B16, MATCH(C161, Input!B7:B16, 0)+1)),"""")",,空
282,报告页,C162,"=IF(OR(O161=$C$158,O161=""""),"""",INDEX(Input!$B$5:$B$14, MATCH(O161,Input!$B$5:$B$14, 0)))",,空
283,报告页,H162,"=IFNA(IF(INDEX(Input!H8:H17,MATCH(C162,Input!B8:B17,0)+1)=""Grooved"",""/"",INDEX(Input!B8:B17, MATCH(C162, Input!B8:B17, 0)+1)),"""")",,空
284,报告页,O162,"=IFNA(IF(H162=""/"",IF(INDEX(Input!$B$5:$B$14, MATCH(C162,Input!$B$5:$B$14, 0)+1)=""NA"",Input!$B$5,INDEX(Input!$B$5:$B$14, MATCH(C162,Input!$B$5:$B$14, 0)+1)),IF(INDEX(Input!$B$5:$B$14, MATCH(H162,Input!$B$5:$B$14, 0)+1)=""NA"",Input!$B$5,INDEX(Input!$B$5:$B$14, MATCH(H162,Input!$B$5:$B$14, 0)+1))),"""")",,空
