序号,来源Sheet,单元格地址,公式内容,当前计算值,值类型
5541,抖动计算,BK45,"=IF(OR(BK$19=""TEN"",BL$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP28/180*PI()),对齐度计算!AQ28)",-32.25000000000003,数值
5542,抖动计算,BL45,"=IF(OR(BK$19=""TEN"",BL$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP28/180*PI()),对齐度计算!AR28)",-55.85863854409627,数值
5543,抖动计算,BM45,"=IF(OR(BM$19=""TEN"",BN$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP28/180*PI()),对齐度计算!AS28)",223.28,数值
5544,抖动计算,BN45,"=IF(OR(BM$19=""TEN"",BN$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP28/180*PI()),对齐度计算!AT28)",-89.59473670974872,数值
5545,抖动计算,BO45,"=IF(OR(BO$19=""TEN"",BP$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP28/180*PI()),对齐度计算!AU28)",276.65,数值
5546,抖动计算,BP45,"=IF(OR(BO$19=""TEN"",BP$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP28/180*PI()),对齐度计算!AV28)",-8.51518312645777,数值
5547,抖动计算,BQ45,"=IF(OR(BQ$19=""TEN"",BR$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP28/180*PI()),对齐度计算!AW28)",245.99999999999997,数值
5548,抖动计算,BR45,"=IF(OR(BQ$19=""TEN"",BR$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP28/180*PI()),对齐度计算!AX28)",84.00257738807144,数值
5549,抖动计算,BS45,"=IF(OR(BS$19=""TEN"",BT$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP28/180*PI()),对齐度计算!AY28)",153.30307509256014,数值
5550,抖动计算,BT45,"=IF(OR(BS$19=""TEN"",BT$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP28/180*PI()),对齐度计算!AZ28)",-28.799302253650378,数值
5551,抖动计算,BU45,"=IF(OR(BU$19=""TEN"",BV$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP28/180*PI()),对齐度计算!BA28)",,空
5552,抖动计算,BV45,"=IF(OR(BU$19=""TEN"",BV$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP28/180*PI()),对齐度计算!BB28)",,空
5553,抖动计算,BW45,"=IF(OR(BW$19=""TEN"",BX$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP28/180*PI()),对齐度计算!BC28)",,空
5554,抖动计算,BX45,"=IF(OR(BW$19=""TEN"",BX$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP28/180*PI()),对齐度计算!BD28)",,空
5555,抖动计算,BY45,"=IF(OR(BY$19=""TEN"",BZ$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP28/180*PI()),对齐度计算!BE28)",,空
5556,抖动计算,BZ45,"=IF(OR(BY$19=""TEN"",BZ$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP28/180*PI()),对齐度计算!BF28)",,空
5557,抖动计算,CA45,"=IF(OR(CA$19=""TEN"",CB$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP28/180*PI()),对齐度计算!BG28)",,空
5558,抖动计算,CB45,"=IF(OR(CA$19=""TEN"",CB$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP28/180*PI()),对齐度计算!BH28)",,空
5559,抖动计算,CC45,"=IF(OR(CC$19=""TEN"",CD$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP28/180*PI()),对齐度计算!BI28)",,空
5560,抖动计算,CD45,"=IF(OR(CC$19=""TEN"",CD$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP28/180*PI()),对齐度计算!BJ28)",,空
5561,抖动计算,C46,"=IF(OR(C$19=""TEN"",D$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!AQ29)",-22.060299244505675,数值
5562,抖动计算,D46,"=IF(OR(C$19=""TEN"",D$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!AR29)",-60.61017404069108,数值
5563,抖动计算,E46,"=IF(OR(E$19=""TEN"",F$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!AS29)",227.8614158435556,数值
5564,抖动计算,F46,"=IF(OR(E$19=""TEN"",F$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!AT29)",-91.73108600279134,数值
5565,抖动计算,G46,"=IF(OR(G$19=""TEN"",H$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!AU29)",282.7638204532966,数值
5566,抖动计算,H46,"=IF(OR(G$19=""TEN"",H$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!AV29)",-11.366104424414651,数值
5567,抖动计算,I46,"=IF(OR(I$19=""TEN"",J$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!AW29)",254.84687197376252,数值
5568,抖动计算,J46,"=IF(OR(I$19=""TEN"",J$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!AX29)",79.87721323598913,数值
5569,抖动计算,K46,"=IF(OR(K$19=""TEN"",L$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!AY29)",159.4975359787655,数值
5570,抖动计算,L46,"=IF(OR(K$19=""TEN"",L$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!AZ29)",-20.6812391776637,数值
5571,抖动计算,M46,"=IF(OR(M$19=""TEN"",N$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!BA29)",,空
5572,抖动计算,N46,"=IF(OR(M$19=""TEN"",N$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!BB29)",,空
5573,抖动计算,O46,"=IF(OR(O$19=""TEN"",P$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!BC29)",,空
5574,抖动计算,P46,"=IF(OR(O$19=""TEN"",P$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!BD29)",,空
5575,抖动计算,Q46,"=IF(OR(Q$19=""TEN"",R$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!BE29)",,空
5576,抖动计算,R46,"=IF(OR(Q$19=""TEN"",R$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!BF29)",,空
5577,抖动计算,S46,"=IF(OR(S$19=""TEN"",T$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!BG29)",,空
5578,抖动计算,T46,"=IF(OR(S$19=""TEN"",T$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!BH29)",,空
5579,抖动计算,U46,"=IF(OR(U$19=""TEN"",V$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!BI29)",,空
5580,抖动计算,V46,"=IF(OR(U$19=""TEN"",V$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!BJ29)",,空
5581,抖动计算,W46,"=IF(OR(W$19=""TEN"",X$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!AQ29)",-22.060299244505675,数值
5582,抖动计算,X46,"=IF(OR(W$19=""TEN"",X$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!AR29)",-60.61017404069108,数值
5583,抖动计算,Y46,"=IF(OR(Y$19=""TEN"",Z$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!AS29)",227.8614158435556,数值
5584,抖动计算,Z46,"=IF(OR(Y$19=""TEN"",Z$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!AT29)",-91.73108600279134,数值
5585,抖动计算,AA46,"=IF(OR(AA$19=""TEN"",AB$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!AU29)",282.7638204532966,数值
5586,抖动计算,AB46,"=IF(OR(AA$19=""TEN"",AB$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!AV29)",-11.366104424414651,数值
5587,抖动计算,AC46,"=IF(OR(AC$19=""TEN"",AD$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!AW29)",254.84687197376252,数值
5588,抖动计算,AD46,"=IF(OR(AC$19=""TEN"",AD$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!AX29)",79.87721323598913,数值
5589,抖动计算,AE46,"=IF(OR(AE$19=""TEN"",AF$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!AY29)",159.60894569730996,数值
5590,抖动计算,AF46,"=IF(OR(AE$19=""TEN"",AF$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!AZ29)",-23.199216320844958,数值
5591,抖动计算,AG46,"=IF(OR(AG$19=""TEN"",AH$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!BA29)",,空
5592,抖动计算,AH46,"=IF(OR(AG$19=""TEN"",AH$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!BB29)",,空
5593,抖动计算,AI46,"=IF(OR(AI$19=""TEN"",AJ$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!BC29)",,空
5594,抖动计算,AJ46,"=IF(OR(AI$19=""TEN"",AJ$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!BD29)",,空
5595,抖动计算,AK46,"=IF(OR(AK$19=""TEN"",AL$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!BE29)",,空
5596,抖动计算,AL46,"=IF(OR(AK$19=""TEN"",AL$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!BF29)",,空
5597,抖动计算,AM46,"=IF(OR(AM$19=""TEN"",AN$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!BG29)",,空
5598,抖动计算,AN46,"=IF(OR(AM$19=""TEN"",AN$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!BH29)",,空
5599,抖动计算,AO46,"=IF(OR(AO$19=""TEN"",AP$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!BI29)",,空
5600,抖动计算,AP46,"=IF(OR(AO$19=""TEN"",AP$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!BJ29)",,空
5601,抖动计算,AQ46,"=IF(OR(AQ$19=""TEN"",AR$19=""TEN""),$BH$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!AQ29)",-22.060299244505675,数值
5602,抖动计算,AR46,"=IF(OR(AQ$19=""TEN"",AR$19=""TEN""),$BI$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!AR29)",-60.61017404069108,数值
5603,抖动计算,AS46,"=IF(OR(AS$19=""TEN"",AT$19=""TEN""),$BH$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!AS29)",227.8614158435556,数值
5604,抖动计算,AT46,"=IF(OR(AS$19=""TEN"",AT$19=""TEN""),$BI$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!AT29)",-91.73108600279134,数值
5605,抖动计算,AU46,"=IF(OR(AU$19=""TEN"",AV$19=""TEN""),$BH$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!AU29)",282.7638204532966,数值
5606,抖动计算,AV46,"=IF(OR(AU$19=""TEN"",AV$19=""TEN""),$BI$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!AV29)",-11.366104424414651,数值
5607,抖动计算,AW46,"=IF(OR(AW$19=""TEN"",AX$19=""TEN""),$BH$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!AW29)",254.84687197376252,数值
5608,抖动计算,AX46,"=IF(OR(AW$19=""TEN"",AX$19=""TEN""),$BI$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!AX29)",79.87721323598913,数值
5609,抖动计算,AY46,"=IF(OR(AY$19=""TEN"",AZ$19=""TEN""),$BH$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!AY29)",159.5841941339597,数值
5610,抖动计算,AZ46,"=IF(OR(AY$19=""TEN"",AZ$19=""TEN""),$BI$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!AZ29)",-25.747221168957747,数值
5611,抖动计算,BA46,"=IF(OR(BA$19=""TEN"",BB$19=""TEN""),$BH$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!BA29)",,空
5612,抖动计算,BB46,"=IF(OR(BA$19=""TEN"",BB$19=""TEN""),$BI$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!BB29)",,空
5613,抖动计算,BC46,"=IF(OR(BC$19=""TEN"",BD$19=""TEN""),$BH$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!BC29)",,空
5614,抖动计算,BD46,"=IF(OR(BC$19=""TEN"",BD$19=""TEN""),$BI$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!BD29)",,空
5615,抖动计算,BE46,"=IF(OR(BE$19=""TEN"",BF$19=""TEN""),$BH$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!BE29)",,空
5616,抖动计算,BF46,"=IF(OR(BE$19=""TEN"",BF$19=""TEN""),$BI$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!BF29)",,空
5617,抖动计算,BG46,"=IF(OR(BG$19=""TEN"",BH$19=""TEN""),$BH$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!BG29)",,空
5618,抖动计算,BH46,"=IF(OR(BG$19=""TEN"",BH$19=""TEN""),$BI$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!BH29)",,空
5619,抖动计算,BI46,"=IF(OR(BI$19=""TEN"",BJ$19=""TEN""),$BH$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!BI29)",,空
5620,抖动计算,BJ46,"=IF(OR(BI$19=""TEN"",BJ$19=""TEN""),$BI$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!BJ29)",,空
5621,抖动计算,BK46,"=IF(OR(BK$19=""TEN"",BL$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!AQ29)",-22.060299244505675,数值
5622,抖动计算,BL46,"=IF(OR(BK$19=""TEN"",BL$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!AR29)",-60.61017404069108,数值
5623,抖动计算,BM46,"=IF(OR(BM$19=""TEN"",BN$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!AS29)",227.8614158435556,数值
5624,抖动计算,BN46,"=IF(OR(BM$19=""TEN"",BN$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!AT29)",-91.73108600279134,数值
5625,抖动计算,BO46,"=IF(OR(BO$19=""TEN"",BP$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!AU29)",282.7638204532966,数值
5626,抖动计算,BP46,"=IF(OR(BO$19=""TEN"",BP$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!AV29)",-11.366104424414651,数值
5627,抖动计算,BQ46,"=IF(OR(BQ$19=""TEN"",BR$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!AW29)",254.84687197376252,数值
5628,抖动计算,BR46,"=IF(OR(BQ$19=""TEN"",BR$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!AX29)",79.87721323598913,数值
5629,抖动计算,BS46,"=IF(OR(BS$19=""TEN"",BT$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!AY29)",159.02194590417093,数值
5630,抖动计算,BT46,"=IF(OR(BS$19=""TEN"",BT$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!AZ29)",-31.466055509103587,数值
5631,抖动计算,BU46,"=IF(OR(BU$19=""TEN"",BV$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!BA29)",,空
5632,抖动计算,BV46,"=IF(OR(BU$19=""TEN"",BV$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!BB29)",,空
5633,抖动计算,BW46,"=IF(OR(BW$19=""TEN"",BX$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!BC29)",,空
5634,抖动计算,BX46,"=IF(OR(BW$19=""TEN"",BX$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!BD29)",,空
5635,抖动计算,BY46,"=IF(OR(BY$19=""TEN"",BZ$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!BE29)",,空
5636,抖动计算,BZ46,"=IF(OR(BY$19=""TEN"",BZ$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!BF29)",,空
5637,抖动计算,CA46,"=IF(OR(CA$19=""TEN"",CB$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!BG29)",,空
5638,抖动计算,CB46,"=IF(OR(CA$19=""TEN"",CB$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!BH29)",,空
5639,抖动计算,CC46,"=IF(OR(CC$19=""TEN"",CD$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP29/180*PI()),对齐度计算!BI29)",,空
5640,抖动计算,CD46,"=IF(OR(CC$19=""TEN"",CD$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP29/180*PI()),对齐度计算!BJ29)",,空
5641,抖动计算,C47,"=IF(OR(C$19=""TEN"",D$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP30/180*PI()),对齐度计算!AQ30)",-11.200307459517006,数值
5642,抖动计算,D47,"=IF(OR(C$19=""TEN"",D$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP30/180*PI()),对齐度计算!AR30)",-63.520100069287416,数值
5643,抖动计算,E47,"=IF(OR(E$19=""TEN"",F$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP30/180*PI()),对齐度计算!AS30)",232.744202847659,数值
5644,抖动计算,F47,"=IF(OR(E$19=""TEN"",F$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP30/180*PI()),对齐度计算!AT30)",-93.03942483735403,数值
5645,抖动计算,G47,"=IF(OR(G$19=""TEN"",H$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP30/180*PI()),对齐度计算!AU30)",289.2798155242898,数值
